Data,Year
111.89476372476322,1952-12-01
111.89016463345486,1954-06-01
111.88555120721588,1957-11-01
111.88092362301708,1959-07-01
111.8762820578292,1959-10-01
111.87162668862305,1960-05-01
111.8669576923694,1961-02-01
111.862275246039,1964-10-01
111.85757952660266,1965-05-01
111.85287071103113,1965-10-01
111.8481489762952,1966-04-01
111.84341449936566,1966-11-01
111.83866745721328,1967-01-01
111.83390802680881,1967-05-01
111.82913638512305,1968-12-01
111.82435270912677,1969-12-01
111.81955717579075,1971-03-01
111.81474996208577,1971-07-01
111.8099312449826,1973-12-01
111.805101201452,1974-04-01
111.80026000846479,1975-01-01
111.79540784299171,1975-06-01
111.79054488200354,1975-09-01
111.78567130247107,1975-11-01
111.78078728136508,1980-01-01
111.77589299565633,1980-03-01
111.7709886223156,1982-05-01
111.76607433831367,1983-02-01
111.76115032062133,1985-04-01
111.75621674620933,1989-02-01
111.75127379204845,1989-07-01
111.7463216351095,1990-11-01
111.74136045236321,1991-06-01
111.7363904207804,1931-11-01
111.73141171733181,1934-08-01
111.72642451898824,1935-02-01
111.72142900272046,1935-10-01
111.71642534549923,1936-03-01
111.71141372429535,1937-02-01
111.7063943160796,1938-05-01
111.70136729782274,1938-09-01
111.69633284649554,1939-05-01
111.6912911390688,1940-02-01
111.68624235251328,1940-10-01
111.68118666379975,1941-03-01
111.676124249899,1942-05-01
111.67105528778183,1942-07-01
111.66597995441896,1943-02-01
111.6608984267812,1944-03-01
111.65581088183934,1944-10-01
111.65071749656413,1944-12-01
111.64561844792635,1947-05-01
111.6405139128968,1948-08-01
111.63540406844622,1949-01-01
111.63028909154542,1949-05-01
111.62516915916515,1949-09-01
111.6200444482762,1952-01-01
111.61491513584936,1954-02-01
111.60978139885539,1955-01-01
111.60464341426506,1955-11-01
111.59950135904916,1959-04-01
111.59435541017845,1959-05-01
111.58920574462373,1959-08-01
111.58405253935575,1959-09-01
111.57889597134532,1960-06-01
111.57373621756318,1961-04-01
111.56857345498014,1962-04-01
111.56340786056695,1963-09-01
111.5582396112944,1966-07-01
111.55306888413327,1967-12-01
111.54789585605431,1973-06-01
111.54272070402834,1973-10-01
111.5375436050261,1974-03-01
111.53236473601838,1974-12-01
111.52718427397596,1975-08-01
111.5220023958696,1975-12-01
111.51681927867011,1978-05-01
